,name,fullName,areaLand,region
0,Sierra,Sierra County,2468686345,North Far North
1,Sacramento,Sacramento County,2499176690,Sacramento Tahoe
2,Santa Barbara,Santa Barbara County,7083926262,Central Coast
3,Calaveras,Calaveras County,2641819811,Central Sierra
4,Ventura,Ventura County,4773381212,Central Coast
5,Los Angeles,Los Angeles County,10510365728,Los Angeles
6,Sonoma,Sonoma County,4081401375,Bay Area
7,Kings,Kings County,3598582246,San Joaquin Valley
8,San Diego,San Diego County,10895213672,San Diego
9,Placer,Placer County,3644346108,Sacramento Tahoe
10,San Francisco,San Francisco County,121451664,Bay Area
11,Marin,Marin County,1348041348,Bay Area
12,Mariposa,Mariposa County,3752425638,Central Sierra
13,Lassen,Lassen County,11761622251,North Far North
14,Napa,Napa County,1938262446,Bay Area
15,Shasta,Shasta County,9778188425,Upper Sacramento Valley
16,Monterey,Monterey County,8496777466,Central Coast
17,Trinity,Trinity County,8234308375,North Far North
18,Mendocino,Mendocino County,9081415546,North Far North
19,Inyo,Inyo County,26368506526,Central Sierra
20,Mono,Mono County,7896722221,Central Sierra
21,Tuolumne,Tuolumne County,5752116633,Central Sierra
22,Solano,Solano County,2128379066,Bay Area
23,San Bernardino,San Bernardino County,51947497395,Inland Empire
24,Contra Costa,Contra Costa County,1871894611,Bay Area
25,Alpine,Alpine County,1912243146,Central Sierra
26,El Dorado,El Dorado County,4423442486,Sacramento Tahoe
27,Yolo,Yolo County,2628233454,Sacramento Tahoe
28,Yuba,Yuba County,1636983405,Sacramento Tahoe
29,San Benito,San Benito County,3596741910,Bay Area
30,Humboldt,Humboldt County,9241050191,North Far North
31,Riverside,Riverside County,18664548548,Inland Empire
32,Kern,Kern County,21061724395,San Joaquin Valley
33,Colusa,Colusa County,2980373022,Upper Sacramento Valley
34,Del Norte,Del Norte County,2606517997,North Far North
35,Modoc,Modoc County,10140841147,North Far North
36,Fresno,Fresno County,15433281588,San Joaquin Valley
37,Madera,Madera County,5535058234,San Joaquin Valley
38,Santa Clara,Santa Clara County,3341632767,Bay Area
39,Tehama,Tehama County,7639716083,Upper Sacramento Valley
40,San Joaquin,San Joaquin County,3603647052,San Joaquin Valley
41,Alameda,Alameda County,1914240897,Bay Area
42,Nevada,Nevada County,2480638586,North Far North
43,Butte,Butte County,4238422629,Upper Sacramento Valley
44,Merced,Merced County,5011540864,San Joaquin Valley
45,Tulare,Tulare County,12494776168,San Joaquin Valley
46,Stanislaus,Stanislaus County,3870792979,San Joaquin Valley
47,Orange,Orange County,2047743976,Orange
48,Imperial,Imperial County,10817387422,Imperial
49,Sutter,Sutter County,1560237071,Sacramento Tahoe
50,Amador,Amador County,1539947591,Central Sierra
51,Lake,Lake County,3254241507,North Far North
52,Plumas,Plumas County,6612371925,North Far North
53,San Mateo,San Mateo County,1161506629,Bay Area
54,Siskiyou,Siskiyou County,16259635719,North Far North
55,Santa Cruz,Santa Cruz County,1152967527,Bay Area
56,Glenn,Glenn County,3403106640,Upper Sacramento Valley
57,San Luis Obispo,San Luis Obispo County,8543720566,Central Coast
